FL_DATE,ORIGIN,DEST,OP_CARRIER,CRS_DEP_TIME,CRS_ARR_TIME,DEP_DELAY,ARR_DELAY,DISTANCE
2025-05-06,LAX,ATL,JB,752,857,0,10,1665
2025-05-23,DFW,LAX,SW,1557,1629,15,10,2360
2025-05-25,LAX,JFK,AA,871,1154,-10,-15,941
2025-05-23,LAX,JFK,SW,2312,19,20,25,802
2025-05-08,DFW,ORD,UA,754,923,0,10,916
2025-05-01,ATL,ORD,DL,1489,1529,-5,0,1113
2025-05-25,ORD,ATL,UA,2232,2282,0,0,2440
2025-05-10,LAX,ATL,SW,1238,1445,-5,0,2176
2025-05-07,DFW,LAX,UA,1064,1182,10,10,1133
2025-05-06,DFW,ATL,DL,1289,1562,5,10,1483
2025-05-09,DFW,ORD,DL,2121,2383,0,10,1697
2025-05-27,LAX,DFW,AA,120,320,5,5,2223
2025-05-20,ATL,DFW,JB,1460,1605,5,0,1116
2025-05-11,DFW,ORD,UA,1754,1849,30,25,2275
2025-05-21,LAX,ORD,AA,2124,2169,5,10,1495
2025-05-05,LAX,ATL,DL,293,338,15,10,935
2025-05-15,DFW,ORD,AA,150,387,15,10,2339
2025-05-13,LAX,ORD,DL,2012,2192,20,25,900
2025-05-15,ORD,DFW,DL,193,464,15,15,1075
2025-05-07,JFK,LAX,AA,1588,1731,30,40,1726
2025-05-07,ATL,ORD,SW,896,1145,5,10,1055
2025-05-23,JFK,ATL,JB,922,1003,10,20,933
2025-05-13,ORD,ATL,AA,647,760,-10,-10,1939
2025-05-20,ORD,DFW,UA,1784,1955,10,10,1292
2025-05-24,JFK,DFW,SW,1523,1759,10,10,444
2025-05-02,ORD,JFK,JB,1695,1858,-5,5,1043
2025-05-07,JFK,DFW,AA,900,1112,15,10,363
2025-05-07,JFK,DFW,JB,1890,2053,-10,0,1764
2025-05-30,ORD,ATL,AA,1090,1185,30,35,2159
2025-05-26,ATL,LAX,UA,1650,1918,10,20,632
2025-05-21,DFW,LAX,SW,1622,1811,-10,-15,1575
2025-05-11,JFK,ORD,DL,2022,2288,15,20,1857
2025-05-30,DFW,ORD,AA,2115,2386,-5,-10,1656
2025-05-06,DFW,LAX,DL,252,302,-10,0,1357
2025-05-08,ORD,ATL,DL,781,993,-5,-5,775
2025-05-16,ATL,DFW,UA,753,885,20,25,1985
2025-05-04,ATL,JFK,JB,705,991,0,-5,1311
2025-05-08,JFK,LAX,DL,1489,1536,5,15,1960
2025-05-16,LAX,ORD,DL,569,815,0,-5,905
2025-05-23,LAX,JFK,AA,2347,149,30,30,691
2025-05-01,ATL,JFK,SW,690,970,-10,-5,1719
2025-05-21,DFW,LAX,UA,1053,1148,0,5,1851
2025-05-05,ATL,ORD,JB,1375,1651,10,15,1727
2025-05-14,JFK,DFW,UA,1107,1196,30,40,1750
2025-05-11,ORD,LAX,SW,1477,1659,5,15,885
2025-05-21,JFK,DFW,AA,670,743,-5,0,831
2025-05-29,ATL,DFW,DL,653,882,0,-5,2159
2025-05-09,ATL,DFW,DL,1577,1748,0,0,1659
2025-05-21,JFK,ATL,DL,2077,2157,5,0,2379
2025-05-24,LAX,DFW,SW,2267,55,-10,-10,1706
2025-05-14,DFW,LAX,UA,116,358,15,15,389
2025-05-14,DFW,ORD,SW,1771,2053,30,25,2381
2025-05-25,LAX,DFW,DL,2201,82,5,0,1031
2025-05-28,ORD,DFW,DL,116,228,5,0,1899
2025-05-13,DFW,JFK,DL,186,306,15,15,1456
2025-05-22,ATL,JFK,DL,350,609,10,10,1345
2025-05-04,ATL,JFK,DL,1773,1972,-10,-10,891
2025-05-26,JFK,LAX,UA,1743,2018,5,5,1466
2025-05-13,JFK,ATL,AA,946,1184,30,40,1996
2025-05-05,ATL,DFW,DL,1640,1895,5,10,2147
2025-05-23,ATL,LAX,JB,2131,2240,0,-5,1019
2025-05-19,DFW,ORD,JB,1034,1283,20,25,444
2025-05-14,ORD,DFW,JB,818,854,-5,0,1831
2025-05-19,ATL,LAX,UA,941,1080,-5,0,2370
2025-05-10,ATL,JFK,UA,819,1067,5,0,1570
2025-05-02,ATL,LAX,UA,904,1146,-5,0,2342
2025-05-15,ATL,ORD,DL,1897,2124,15,10,1900
2025-05-07,DFW,JFK,UA,1048,1157,30,35,1700
2025-05-28,ORD,ATL,DL,260,475,-5,-10,2412
2025-05-30,ORD,JFK,AA,1379,1610,20,25,2108
2025-05-14,ORD,LAX,UA,1030,1114,-10,-15,307
2025-05-18,JFK,ORD,JB,1819,1909,5,10,484
2025-05-05,ORD,LAX,JB,1350,1479,10,15,2388
2025-05-18,DFW,ORD,SW,1148,1356,5,0,297
2025-05-04,LAX,ORD,SW,2027,2203,0,0,2085
2025-05-09,DFW,ORD,DL,1015,1286,-5,0,714
2025-05-11,ATL,JFK,AA,1294,1339,10,10,1516
2025-05-12,JFK,ATL,SW,1221,1496,-10,-15,2038
2025-05-21,ORD,LAX,DL,486,747,-5,-5,372
2025-05-25,JFK,LAX,AA,1371,1614,15,25,780
2025-05-15,ORD,LAX,SW,1471,1767,30,25,1013
2025-05-11,DFW,LAX,DL,1032,1326,15,25,1570
2025-05-22,ORD,ATL,AA,972,1096,0,10,2053
2025-05-22,ATL,DFW,AA,953,1161,10,20,871
2025-05-30,JFK,ATL,UA,1917,2116,-5,0,1662
2025-05-02,ORD,DFW,UA,2023,2228,15,15,1437
2025-05-15,LAX,ATL,DL,1854,1905,5,10,989
2025-05-25,DFW,ORD,SW,68,262,30,25,449
2025-05-08,DFW,ATL,DL,309,594,-10,-10,1124
2025-05-15,ATL,LAX,SW,1992,2077,15,25,2059
2025-05-21,ATL,ORD,AA,1538,1747,15,20,1710
2025-05-16,JFK,ORD,UA,918,1134,-5,0,384
2025-05-28,DFW,LAX,AA,1632,1679,-10,-10,1800
2025-05-14,ATL,DFW,SW,1965,2171,-10,-10,1778
2025-05-29,DFW,JFK,AA,482,642,20,25,661
2025-05-13,ATL,JFK,JB,1171,1403,-10,-10,2336
2025-05-13,LAX,ATL,AA,2155,34,-5,0,1381
2025-05-22,ATL,ORD,AA,606,846,5,15,1967
2025-05-08,ORD,ATL,AA,1130,1383,10,20,884
2025-05-04,JFK,LAX,AA,2066,2157,10,20,917
2025-05-24,JFK,LAX,UA,894,1096,-10,0,2286
2025-05-22,DFW,ATL,SW,559,773,0,10,2086
2025-05-17,ATL,DFW,AA,1750,1805,10,5,1245
2025-05-25,LAX,ORD,JB,1943,2161,0,5,1105
2025-05-15,JFK,LAX,JB,1246,1441,-5,-5,2298
2025-05-13,DFW,ORD,SW,895,947,10,20,636
2025-05-11,DFW,ORD,AA,1079,1290,-10,-10,502
2025-05-21,DFW,JFK,AA,29,313,5,0,2394
2025-05-15,LAX,ORD,UA,1093,1241,15,25,352
2025-05-22,ORD,LAX,SW,631,793,-10,0,1373
2025-05-20,JFK,LAX,AA,695,809,15,25,2349
2025-05-09,ATL,LAX,AA,72,172,20,25,2005
2025-05-02,JFK,DFW,AA,859,999,20,30,2020
2025-05-13,DFW,ORD,JB,2224,50,0,-5,1924
2025-05-11,LAX,ORD,DL,24,286,30,25,835
2025-05-01,ORD,JFK,SW,1129,1303,15,10,2308
2025-05-01,DFW,JFK,DL,1168,1331,5,0,961
2025-05-07,ORD,JFK,UA,1858,1953,10,15,1819
2025-05-29,JFK,DFW,AA,2184,59,0,-5,1759
2025-05-01,LAX,DFW,JB,1195,1480,10,15,897
2025-05-13,ORD,DFW,AA,1337,1455,10,15,1905
2025-05-27,DFW,ATL,UA,6,211,0,10,312
2025-05-08,ORD,DFW,DL,222,349,5,0,335
2025-05-16,ORD,DFW,SW,1467,1540,0,-5,2206
2025-05-07,ATL,ORD,DL,1199,1324,0,0,489
2025-05-20,ATL,ORD,AA,1054,1213,5,10,2076
2025-05-20,ORD,JFK,SW,1429,1558,20,25,745
2025-05-24,LAX,JFK,AA,2242,2301,5,5,287
2025-05-21,LAX,DFW,AA,1604,1781,5,10,2026
2025-05-17,LAX,ORD,JB,470,650,30,40,345
2025-05-24,LAX,JFK,JB,798,1074,10,15,1897
2025-05-20,DFW,ATL,SW,2287,104,15,15,2410
2025-05-11,DFW,LAX,AA,565,699,10,15,1899
2025-05-27,ORD,JFK,SW,998,1181,0,-5,2438
2025-05-09,ORD,DFW,UA,1414,1609,5,0,1764
2025-05-28,JFK,ATL,AA,1690,1982,20,20,655
2025-05-08,JFK,LAX,DL,1860,1935,-10,-5,898
2025-05-22,DFW,LAX,DL,1962,2231,5,15,2227
2025-05-28,LAX,ORD,JB,510,732,30,30,2378
2025-05-04,JFK,LAX,AA,517,711,-10,-15,1505
2025-05-10,DFW,ATL,AA,722,959,-5,5,253
2025-05-15,DFW,ORD,DL,1209,1372,20,30,1475
2025-05-30,JFK,LAX,SW,2320,77,20,25,1948
2025-05-04,DFW,ATL,JB,1855,2047,5,0,1960
2025-05-15,ORD,JFK,JB,310,524,10,5,423
2025-05-03,JFK,ATL,SW,875,1129,0,-5,272
2025-05-06,ATL,ORD,DL,1878,2128,-5,-10,275
2025-05-06,LAX,DFW,SW,2089,2180,15,15,964
2025-05-04,DFW,ATL,SW,235,506,15,20,1811
2025-05-17,DFW,ORD,AA,1992,2184,0,-5,1092
