DATE,HOUR,AIRPORT,TEMP_C,WIND_SPEED_KMH,PRECIP_MM,WEATHER_COND
2025-05-01,0,JFK,23.6,1.1,1.0,Rain
2025-05-01,1,JFK,12.5,8.2,0.0,Cloudy
2025-05-01,2,JFK,31.5,3.4,0.0,Thunderstorm
2025-05-01,3,JFK,10.9,14.3,1.0,Cloudy
2025-05-01,4,JFK,23.1,1.7,0.1,Rain
2025-05-01,5,JFK,10.5,7.2,0.1,Rain
2025-05-01,6,JFK,11.5,7.0,0.0,Fog
2025-05-01,7,JFK,20.8,6.0,0.1,Cloudy
2025-05-01,8,JFK,11.7,12.5,0.1,Rain
2025-05-01,9,JFK,31.4,10.1,0.0,Clear
2025-05-01,10,JFK,17.5,4.7,5.0,Snow
2025-05-01,11,JFK,29.9,10.6,0.0,Thunderstorm
2025-05-01,12,JFK,34.2,1.1,0.0,Fog
2025-05-01,13,JFK,28.0,9.2,0.0,Clear
2025-05-01,14,JFK,25.3,1.1,0.0,Cloudy
2025-05-01,15,JFK,26.2,3.4,0.5,Snow
2025-05-01,16,JFK,12.4,2.6,0.0,Rain
2025-05-01,17,JFK,16.8,11.2,0.0,Thunderstorm
2025-05-01,18,JFK,34.6,2.1,0.0,Rain
2025-05-01,19,JFK,26.5,11.2,0.0,Thunderstorm
2025-05-01,20,JFK,15.9,11.5,5.0,Snow
2025-05-01,21,JFK,29.5,5.7,0.1,Snow
2025-05-01,22,JFK,18.8,11.4,1.0,Cloudy
2025-05-01,23,JFK,28.1,4.5,0.0,Thunderstorm
2025-05-02,0,JFK,22.0,6.8,0.1,Clear
2025-05-02,1,JFK,23.0,6.5,0.0,Thunderstorm
2025-05-02,2,JFK,19.5,5.4,0.0,Thunderstorm
2025-05-02,3,JFK,15.9,12.1,0.0,Snow
2025-05-02,4,JFK,32.2,8.3,5.0,Clear
2025-05-02,5,JFK,32.7,6.3,0.0,Cloudy
2025-05-02,6,JFK,18.0,4.0,0.0,Rain
2025-05-02,7,JFK,33.9,13.2,0.0,Fog
2025-05-02,8,JFK,34.4,4.5,5.0,Thunderstorm
2025-05-02,9,JFK,29.0,9.5,0.0,Clear
2025-05-02,10,JFK,21.4,13.9,1.0,Fog
2025-05-02,11,JFK,23.3,5.9,1.0,Thunderstorm
2025-05-02,12,JFK,10.2,3.0,0.0,Fog
2025-05-02,13,JFK,33.1,12.4,0.0,Fog
2025-05-02,14,JFK,32.7,13.4,0.5,Snow
2025-05-02,15,JFK,21.4,7.6,0.1,Thunderstorm
2025-05-02,16,JFK,23.5,5.0,0.5,Cloudy
2025-05-02,17,JFK,14.5,9.5,0.0,Fog
2025-05-02,18,JFK,33.3,7.6,0.0,Clear
2025-05-02,19,JFK,30.4,5.6,5.0,Rain
2025-05-02,20,JFK,10.8,3.7,0.5,Thunderstorm
2025-05-02,21,JFK,29.4,6.5,0.0,Snow
2025-05-02,22,JFK,21.3,10.2,5.0,Thunderstorm
2025-05-02,23,JFK,29.8,7.3,0.1,Clear
2025-05-03,0,JFK,24.8,3.4,1.0,Snow
2025-05-03,1,JFK,28.3,5.6,0.1,Rain
2025-05-03,2,JFK,10.3,11.7,1.0,Snow
2025-05-03,3,JFK,27.5,6.4,5.0,Thunderstorm
2025-05-03,4,JFK,13.2,10.6,0.5,Fog
2025-05-03,5,JFK,13.4,12.2,0.5,Clear
2025-05-03,6,JFK,23.1,6.5,5.0,Fog
2025-05-03,7,JFK,22.4,14.7,0.0,Fog
2025-05-03,8,JFK,11.0,13.6,1.0,Cloudy
2025-05-03,9,JFK,15.5,1.1,0.0,Snow
2025-05-03,10,JFK,13.1,6.9,0.0,Thunderstorm
2025-05-03,11,JFK,27.6,14.3,0.0,Fog
2025-05-03,12,JFK,31.0,6.1,0.0,Fog
2025-05-03,13,JFK,33.0,10.6,0.1,Rain
2025-05-03,14,JFK,27.1,14.5,0.1,Snow
2025-05-03,15,JFK,14.4,12.8,0.5,Thunderstorm
2025-05-03,16,JFK,10.7,8.3,0.5,Clear
2025-05-03,17,JFK,15.4,13.4,5.0,Cloudy
2025-05-03,18,JFK,17.3,11.7,0.1,Clear
2025-05-03,19,JFK,34.9,13.8,0.5,Thunderstorm
2025-05-03,20,JFK,10.4,10.7,0.0,Clear
2025-05-03,21,JFK,20.8,0.4,0.0,Thunderstorm
2025-05-03,22,JFK,30.3,12.4,1.0,Clear
2025-05-03,23,JFK,17.0,7.3,0.1,Snow
2025-05-04,0,JFK,19.5,0.2,0.0,Cloudy
2025-05-04,1,JFK,25.0,14.7,5.0,Cloudy
2025-05-04,2,JFK,19.3,7.7,1.0,Clear
2025-05-04,3,JFK,30.2,4.8,0.0,Rain
2025-05-04,4,JFK,25.8,1.2,1.0,Clear
2025-05-04,5,JFK,34.3,4.4,0.0,Thunderstorm
2025-05-04,6,JFK,29.4,14.3,0.0,Clear
2025-05-04,7,JFK,25.0,7.1,0.5,Rain
2025-05-04,8,JFK,27.6,6.8,0.1,Cloudy
2025-05-04,9,JFK,28.1,0.1,0.5,Clear
2025-05-04,10,JFK,27.0,4.5,0.0,Clear
2025-05-04,11,JFK,21.2,8.4,0.0,Thunderstorm
2025-05-04,12,JFK,30.2,11.9,0.0,Clear
2025-05-04,13,JFK,16.1,3.8,0.1,Rain
2025-05-04,14,JFK,20.9,11.0,0.0,Snow
2025-05-04,15,JFK,28.0,14.6,0.0,Rain
2025-05-04,16,JFK,31.6,14.6,0.5,Thunderstorm
2025-05-04,17,JFK,22.5,3.5,0.0,Snow
2025-05-04,18,JFK,18.8,8.8,0.5,Snow
2025-05-04,19,JFK,18.5,9.0,1.0,Fog
2025-05-04,20,JFK,35.0,0.7,0.0,Cloudy
2025-05-04,21,JFK,32.0,8.2,5.0,Fog
2025-05-04,22,JFK,34.3,3.7,0.0,Thunderstorm
2025-05-04,23,JFK,25.9,5.5,0.1,Snow
2025-05-05,0,JFK,13.9,14.5,1.0,Fog
2025-05-05,1,JFK,12.5,13.4,0.0,Fog
2025-05-05,2,JFK,23.3,8.8,0.1,Clear
2025-05-05,3,JFK,20.0,14.8,5.0,Snow
2025-05-05,4,JFK,28.7,11.0,0.0,Fog
2025-05-05,5,JFK,19.9,9.8,0.1,Snow
2025-05-05,6,JFK,10.4,4.9,0.1,Rain
2025-05-05,7,JFK,23.3,13.1,0.1,Fog
2025-05-05,8,JFK,11.1,1.5,0.0,Fog
2025-05-05,9,JFK,28.5,14.9,5.0,Fog
2025-05-05,10,JFK,24.1,12.1,0.0,Rain
2025-05-05,11,JFK,23.4,12.9,0.5,Snow
2025-05-05,12,JFK,12.4,3.4,5.0,Clear
2025-05-05,13,JFK,24.3,12.1,0.0,Thunderstorm
2025-05-05,14,JFK,20.6,2.9,0.0,Rain
2025-05-05,15,JFK,22.7,1.5,1.0,Clear
2025-05-05,16,JFK,15.8,1.4,1.0,Cloudy
2025-05-05,17,JFK,16.0,11.0,0.0,Cloudy
2025-05-05,18,JFK,11.7,5.9,0.1,Thunderstorm
2025-05-05,19,JFK,11.3,14.7,0.0,Fog
2025-05-05,20,JFK,30.0,0.2,1.0,Snow
2025-05-05,21,JFK,30.3,5.6,0.0,Clear
2025-05-05,22,JFK,30.6,9.2,0.1,Rain
2025-05-05,23,JFK,29.0,5.5,0.0,Thunderstorm
